GID_1;GID_0;COUNTRY;NAME_1;VARNAME_1;NL_NAME_1;TYPE_1;ENGTYPE_1;CC_1;HASC_1;ISO_1;CPU
AND.1_1;AND;Andorra;Andorra la Vella;NA;NA;Parròquia;Parish;NA;AD.AN;AD-07
AND.2_1;AND;Andorra;Canillo;NA;NA;Parròquia;Parish;NA;AD.CA;AD-02
AND.3_1;AND;Andorra;Encamp;NA;NA;Parròquia;Parish;NA;AD.EN;AD-03
AND.4_1;AND;Andorra;Escaldes-Engordany;NA;NA;Parròquia;Parish;NA;AD.EE;AD-08
AND.5_1;AND;Andorra;La Massana;NA;NA;Parròquia;Parish;NA;AD.MA;AD-04
AND.6_1;AND;Andorra;Ordino;NA;NA;Parròquia;Parish;NA;AD.OR;AD-05
AND.7_1;AND;Andorra;Sant Julià de Lòria;NA;NA;Parròquia;Parish;NA;AD.JL;NA
